"kdakun","nmakun"
"113311","Bagian Lancar Tagihan Penjualan Angsuran"
"113319","Deposito dan Investasi Jangka Pendek Lainnya dari Dana Kelolaan BLU dan/atau Kas BLU yang dibatasi Penggunaannya"
"113411","Bagian Lancar Tagihan Tuntutan Peberndaharaan/Tuntutan Ganti Rugi"
"113511","Bagian Lancar Investasi Permanen"
"113611","uang muka belanja pegawai"
"113612","uang muka belanja barang"
"113613","uang muka belanja modal"
"113614","uang muka belanja pembayaran bunga"
"113615","uang muka belanja subsidi"
"113616","uang muka belanja hibah"
"113617","uang muka belanja bantuan sosial"
"113618","Uang Muka Belanja Lain-Lain"
"113621","Uang muka belanja dana perimbangan"
"113622","Uang muka belanja otonomi khusus dan penyesuaian"
"113631","Belanja Pegawai Dibayar di muka"
"113632","Belanja barang yang dibayar dimuka"
"113633","Belanja pembayaran bunga dibayar dimuka"
"113634","Belanja Lain-Lain Dibayar Dimuka"
"113635","Belanja Modal Dibayar dimuka"
"113641","Piutang Transfer Dana Perimbangan"
"113642","Piutang Transfer Dana Otonomi Khusus dan Penyesuaian"
"113711","Piutang dari BUN"
"113712","Piutang dari KPPN"
"113721","Piutang dari Kementerian Negara/Lembaga"
"113731","Piutang dari Kas BLU"
"113751","Piutang Kepada RKUN"
"113811","Piutang BLU Pelayanan Kesehatan"
"113812","Piutang BLU Pelayanan Pendidikan"
"113813","Piutang BLU Penunjang Konstruksi"
"113814","Piutang BLU Penyedia Jasa Telekomunikasi"
"113819","Piutang BLU penyedia Barang dan JasaLainnya"
"113821","Piutang BLU Pengelola Kawasan Otorita"
"113822","Piutang BLU Pengelola Kawasan Ekonomi Terpadu"
"113829","Piutang BLU Pengelola Kawasan Lainnya"
"113831","Piutang BLU Pengelola Dana Investasi"
"113832","Piutang BLU Pengelola Dana Bergulir"
"113839","Piutang BLU Pengelola Dana Lainnya"
"113891","Piutang dari Kegiatan Operasional Lainnya"
"113911","Piutang Sewa Tanah - BLU"
"113912","Piutang Sewa Gedung - BLU"
"113913","Piutang Sewa Ruangan - BLU"
"113914","Piutang Sewa Peralatan dan Mesin - BLU"
"113919","Piutang Sewa Lainnya - BLU"
"113921","Piutang dari Penjualan Aset Tetap - BLU"
"113929","Piutang dari penjualan Aset lainnya - BLU"
"113991","Piutang dari kegiatan non operasional lainnya - BLU"
"114111","Belanja Pegawai Dibayar di Muka (prepaid)"
"114112","Belanja barang yang dibayar di muka (prepaid)"
"114113","Belanja Pembayaran Bunga Dibayar di Muka (prepaid)"
"114114","Belanja Lain-lain Dibayar di Muka (prepaid)"
"114115","Belanja Modal Dibayar di Muka (prepaid)"
"114116","Belanja Hibah Dibayar di Muka (prepaid)"
"114117","Belanja Subsidi Dibayar di Muka (prepaid)"
"114118","Belanja Bantuan Sosial Dibayar di Muka (prepaid)"
"114211","Investasi dalam Surat Perbendaharaan  Negara"
"114311","Pendapatan Yang Masih Harus Diterima"
"114319","Investasi Lainnya - BLU"
"114911","Investasi Jangka Pendek Lainnya"
"115111","Barang Konsumsi"
"115112","Amunisi"
"115113","Bahan untuk Pemeliharaan"
"115114","Suku Cadang"
"115121","Pita Cukai, Materai dan Leges"
"115122","Tanah Bangunan untuk dijual atau diserahkan kepada Masyarakat"
"115123","Hewan dan Tanaman untuk dijual atau diserahkan kepada Masyarakat"
"115124","Peralatan dan Mesin untuk dijual atau diserahkan kepada Masyarakat"
"115125","Jalan, Irigasi dan Jaringan untuk diserahkan kepada Masyarakat"
"115126","Aset Tetap Lainnya untuk diserahkan kepada Masyarakat"
"115127","Aset Lain-Lain untuk diserahkan kepada Masyarakat"
"115128","Barang Persediaan Lainnya untuk Dijual/Diserahkan ke Masyarakat"
"115131","Bahan Baku"
"115132","Barang dalam Proses"
"115191","Piutang Bea Masuk Antidumping"
"115192","Piutang Bea Masuk Imbalan"
"115193","Piutang Bea Masuk Tindakan Pengamanan "
"115199","Persediaan Lainnya"
"115211","Persediaan BLU Pelayanan Kesehatan"
"115212","Persediaan BLU Pelayanan Pendidikan"
"115213","Persediaan BLU penunjang Konstruksi"
"115214","Persediaan BLU Penyedia Jasa Telekomunikasi"
"115219","Persediaan BLU Penyedia Barang dan Jasa Lainnya"
"115221","Persediaan BLU Pengelola Kawasan Otorita"
"115222","Persediaan BLU Pengelola Kawasan Ekonomi Terpadu"
"115229","Persediaan BLU Pengelola Kawasan Lainnya"
"115231","Piutang Transfer Dana Perimbangan"
"115232","Piutang Transfer Dana Otonomi Khusus dan Penyesuaian"
"115239","Piutang Transfer  ke Daerah dan Dana Desa Lainnya"
"115251","Piutang Transfer Dana Perimbangan-Diestimasi"
"115252","Piutang Transfer Dana Otonomi Khusus dan Penyesuaian-Diestimasi"
"115261","Piutang Subsidi "
"115320","Bagian Lancar Tagihan Penjualan Angsuran - BLU"
"115321","Bagian Lancar Tagihan Penjualan Angsuran - BLU "
"115430","Bagian Lancar Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi - BLU"
"115431","Bagian Lancar Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi - BLU "
"115511","Bagian Lancar Piutang Pemberian Pinjaman"
"115522","Piutang Bunga Pemberian Pinjaman"
"115523","Piutang Denda Pemberian Pinjaman"
"115524","Piutang Jasa Bank Pemberian Pinjaman"
"115525","Piutang Biaya Lain-lain Pemberian Pinjaman"
"115526","Piutang Denda atas Keterlambatan Penyampaian Laporan oleh debitur Penerusan Pinjaman"
"115531","Piutang Bunga Pemberian Pinjaman Penyesuaian"
"115532","Piutang Denda Pemberian Pinjaman Penyesuaian"
"115591","Suspen Bagian Lancar Piutang Pemberian Pinjaman"
"115592","Suspen Piutang Bunga Pemberian Pinjaman"
"115593","Suspen Piutang Denda Pemberian Pinjaman"
"115594","Suspen Piutang Jasa Bank Pemberian Pinjaman"
"115595","Suspen Piutang Biaya Lain-lain Penerusan Pinjaman"
"115613","Piutang dari Uang Persediaan yang akan diterima"
"115673","Piutang Komitmen atas Transaksi SBN-TDR"
"115674","Piutang Komitmen atas Reverse Repo-TDR"
"115675","Piutang Komitmen atas Repo-TDR"
"115676","Piutang Komitmen atas Transaksi Foreign Exchange-TDR"
"115740","Piutang dari Pelayanan BLU yang Bersumber dari Entitas Pemerintah Pusat"
"115741","Piutang dari Pelayanan BLU yang Bersumber dari Entitas Pemerintah Pusat "
"115815","Piutang Sewa Aset Tetap Lainnya - BLU "
"115830","Piutang dari Tukar Menukar Aset - BLU"
"115831","Piutang dari Tukar Menukar Aset Tetap - BLU"
"115839","Piutang dari Tukar Menukar Aset Lainnya - BLU "
"115912","Piutang Bunga Kredit Pemerintah (KUMK)"
"115913","Piutang Denda Keterlambatan Bunga KUMK"
"115914","Piutang Denda Penyaluran KUMK"
"115915","Piutang Denda atas Keterlambatan Penyampaian Laporan oleh debitur Kredit Pemerintah (KUMK)"
"115921","Bagian Lancar Piutang Penjaminan Pemerintah"
"115931","Bagian Lancar Piutang Jangka Panjang Penanggulangan Lumpur Sidoarjo"
"115939","Bagian Lancar Piutang Jangka Panjang Lainnya"
"116111","Penyisihan Piutang Tidak Tertagih – Piutang Pajak PPh Migas"
"116112","Penyisihan Piutang Tidak Tertagih – Piutang Pajak PPh Non Migas"
"116113","Penyisihan Piutang Tidak Tertagih – Piutang Pajak PPN"
"116114","Penyisihan Piutang Tidak Tertagih – Piutang Pajak PPnBM"
"116115","Penyisihan Piutang Tidak Tertagih – Piutang Pajak PBB dan BPHTB"
"116118","Penyisihan Piutang Tidak Tertagih – Piutang Pajak Perdagangan Internasional"
"116119","Penyisihan Piutang Tidak Tertagih – Piutang Bea Masuk Tindakan"
"116231","Penyisihan Piutang Tidak Tertagih - Bagian Lancar Piutang Pemberian Pinjaman"
"116243","Penyisihan Piutang Tidak Tertagih – Bagian Lancar Piutang Jangka Panjang Penanggulangan Lumpur Sidoarjo "
"116252","Penyisihan Piutang Tidak Tertagih - Piutang Bunga Pemberian Pinjaman"
"116253","Penyisihan Piutang Tidak Tertagih - Piutang Denda Pemberian Pinjaman"
"116261","Penyisihan Piutang Tidak Tertagih – Bagian Lancar Piutang Penjaminan Pemerintah"
"116271","Penyisihan Piutang Tidak Tertagih – Piutang Jangka Pendek Subsidi "
"116411","Penyisihan Piutang Penerusan Pinjaman"
"116412","Penyisihan Piutang RDI"
"116511","Penyisihan Piutang Kredit Pemerintah Bidang Perkebunan"
"116512","Penyisihan Piutang Kredit Investasi Pemerintah"
"116640","Penyisihan Piutang Tidak Tertagih - Piutang BLU yang Bersumber dari Entitas Pemerintah Pusat"
"116641","Penyisihan Piutang Tidak Tertagih - Piutang BLU yang Bersumber dari Entitas Pemerintah Pusat"
"116730","Penyisihan Piutang Tidak Tertagih - Bagian Lancar Tagihan Penjualan Angsuran, Tuntutan Perbendaharaan/Tuntutan Ganti Rugi BLU"
"116731","Penyisihan Piutang Tidak Tertagih – Bagian Lancar Tagihan Penjualan Angsuran BLU"
"116732","Penyisihan Piutang Tidak Tertagih – Bagian Lancar Tuntutan Perbendaharaan/Tuntutan Ganti Rugi BLU "
"117111","Barang Konsumsi  "
"117122","Tanah Bangunan untuk dijual atau diserahkan kepada Masyarakat"
"117124","Peralatan dan Mesin untuk dijual atau diserahkan kepada Masyarakat"
"117125","Jalan, Irigasi dan Jaringan untuk diserahkan kepada Masyarakat"
"117129","Persediaan Lainnya Untuk Diserahkan Kepada Masyarakat – Dalam Proses"
"117141","Persediaan dalam Rangka Bantuan Sosial"
"117191","Persediaan untuk Tujuan Strategis/Berjaga-jaga"
"118111","Piutang PFK 2 % Gaji"
"118112","Piutang PFK 2% Pensiunan PNS "
"118114","Piutang PFK 8% Gaji"
"118116","Piutang PFK 2 % Pensiunan TNI/PNS Kemhan dan Polri/PNS Polri"
"118117","Piutang PFK 3 % Iuran Jaminan Kesehatan"
"118121","Piutang PFK Wesel Pemerintah "
"118122","Piutang Pengembalian Kelebihan Penyaluran PFK Tahun Anggaran Yang Lalu"
"118123","Piutang PFK 1% Gaji"
"118124","Piutang PFK 8% Gaji TNI/PNS Kemhan dan Polri/PNS Polri"
"118125","Piutang PFK Tunggakan Iuran Jaminan Kesehatan Pemerintah Daerah"
"118211","Piutang Pengembalian Escrow Pajak"
"118221","Piutang Pengembalian Escrow PNBP"
"121111","Rekening Dana Investasi"
"121112","Rekening Pembangunan Daerah"
"121211","Dana Restrukturisasi Perbankan"
"121311","Program Kemitraan (PK)"
"121321","Dana Bergulir Kementerian Negara/Lembaga"
"121331","Dana Bergulir Lainnya"
"121411","Investasi dalam Obligasi"
"121511","Penyertaan Modal Pemerintah dalam Proyek Pembangunan"
"121611","Investasi BLU Pelayanan Kesehatan - Non Permanen"
"121613","Investasi BLU Pelayanan Pendidikan - Non Permanen"
"121614","Investasi BLU Penunjang Konstruksi - Non Permanen"
"121615","Investasi BLU Penyedia Jasa Telekomunikasi - Non Permanen"
"121619","Investasi BLU Penyedia Barang dan Jasa Lainnya - Non Permanen"
"121621","Investasi BLU Pengelola Kawasan Otorita - Non Permanen"
"121622","Investasi BLU Pengelola Kawasan Ekonomi Terpadu - Non Permanen"
"121629","Investasi BLU Pengelola Kawasan Lainnya - Non Permanen"
"121631","Investasi BLU Pengelola Dana Investasi - Non Permanen"
"121632","Investasi BLU Pengelola Dana Bergulir - Non Permanen"
"121639","Investasi BLU Pengelola Dana Lainnya - Non Permanen"
"121911","Investasi Non Permanen Lainnya"
"122111","Penyertaan Modal Pemerintah pada Persero"
"122112","Penyertaan Modal Pemerintah pada PERUM"
"122121","Penyertaan Modal Luar Negeri"
"122131","Penyertaan Modal Pemerintah pada Badan Usaha Lainnya"
"122211","Investasi BLU Pelayanan Kesehatan - Permanen"
"122212","Investasi BLU Pelayanan Pendidikan - Permanen"
"122213","Investasi BLU Penunjang Konstruksi - Permanen"
"122214","Investasi BLU Penyedia Jasa Telekomunikasi - Permanen"
"122219","Investasi BLU Penyedia Barang dan Jasa Lainnya - Permanen"
"122221","Investasi BLU Pengelola Kawasan Otorita - Permanen"
"122222","Investasi BLU Pengelola Kawasan Ekonomi Terpadu - Permanen"
"122223","Investasi BLU Pengelola Kawasan Lainnya - Permanen"
"122231","Investasi BLU Pengelola Dana Investasi - Permanen"
"122232","Investasi BLU Pengelola Dana Bergulir - Permanen"
"122239","Investasi BLU Pengelola Dana Lainnya - Permanen"
"122911","Investasi dalam Obligasi"
"122912","Investasi pada Otorita"
"122919","Investasi Lain-lain"
"123112","Dana Bergulir Diragukan Tertagih - Kementerian Negara/ Lembaga"
"123300","Investasi Non Permanen BLU Bentuk Tagihan Diragukan Tertagih"
"123310","Investasi Non Permanen BLU Penyedia Barang dan Jasa Diragukan Tertagih"
"123311","Investasi Non Permanen BLU Pelayanan Kesehatan Diragukan Tertagih"
"123312","Investasi Non Permanen BLU Pelayanan Pendidikan Diragukan Tertagih"
"123313","Investasi Non Permanen BLU Penunjang Konstruksi Diragukan Tertagih"
"123314","Investasi Non Permanen BLU Penyedia Jasa Telekomunikasi Diragukan Tertagih"
"123319","Investasi Non Permanen BLU Penyedia Barang dan Jasa Lainnya Diragukan Tertagih"
"123320","Investasi Non Permanen BLU Pengelola Wilayah/Kawasan Tertentu Diragukan Tertagih"
"123321","Investasi Non Permanen BLU Pengelola Kawasan Otorita Diragukan Tertagih"
"123322","Investasi Non Permanen BLU Pengelola Kawasan Ekonomi Terpadu Diragukan Tertagih"
"123329","Investasi Non Permanen BLU Pengelola Kawasan Lainnya Diragukan Tertagih"
"123330","Investasi Non Permanen BLU Pengelola Dana Khusus untuk Masyarakat Diragukan Tertagih"
"123331","Investasi Non Permanen BLU Pengelola Dana Investasi Diragukan Tertagih"
"123332","Investasi Non Permanen BLU Pengelola Dana Bergulir Diragukan Tertagih"
"123339","Investasi Non Permanen BLU Pengelola Dana Lainnya Diragukan Tertagih  "
"131111","Tanah"
"131112","Tanah dari Hibah"
"131211","Tanah Belum Diregister"
"131311","Peralatan dan Mesin"
"131411","Tanah Belum Diregister - BLU"
"131511","Gedung dan Bangunan"
"131611","Gedung dan Bangunan Sebelum Disesuaikan"
"131711","Jalan dan Jembatan"
"131712","Irigasi"
"131713","Jaringan"
"131811","Jalan dan Jembatan Sebelum Disesuaikan"
"131812","Irigasi Sebelum Disesuaikan"
"131813","Jaringan Sebelum Disesuaikan"
"131911","Aset Tetap dalam Renovasi"
"131921","Aset Tetap Lainnya"
"132111","Konstruksi Dalam pengerjaan"
"132112","Peralatan dan Mesin dari Hibah"
"132211","Peralatan dan Mesin Belum Diregister"
"132411","Peralatan dan Mesin Belum Diregister – BLU"
"133111","Akumulasi Penyusutan Peralatan dan Mesin"
"133112","Gedung dan Bangunan dari Hibah"
"133211","Gedung dan Bangunan Belum Diregister"
"133311","Akumulasi Penyusutan Jalan dan Jembatan"
"133312","Akumulasi Penyusutan Jaringan dan Irigasi"
"133411","Gedung dan Bangunan Belum Diregister - BLU"
"134114","Jalan, Irigasi dan Jaringan dari Hibah"
"134211","Jalan dan Jembatan Belum Diregister"
"134212","Irigasi Belum Diregister"
"134213","Jaringan Belum Diregister"
"134411","Jalan, Irigasi dan Jaringan Belum Diregister - BLU"
"135111","Aset Tetap Renovasi"
"135122","Aset Tetap Lainnya dari Hibah"
"135211","Peralatan dan Mesin - BLU"
"135311","Gedung dan Bangunan - BLU"
"135321","Akumulasi Penyusutan Gedung dan Bangunan - BLU"
"135411","Jalan, Irigasi, dan Jaringan - BLU"
"135421","Akumulasi Penyusutan Jalan,Irigasi dan Jaringan - BLU"
"135511","Aset Tetap Lainnya  - BLU"
"135521","Akumulasi Penyusutan Aset Tetap Lainnya - BLU"
"135611","Konstruksi Dalam Pengerjaan Badan Layanan Umum"
"136211","Konstruksi Dalam Pengerjaan Badan Layanan Umum"
"141111","Dana Cadangan"
"151111","Tagihan Penjualan Angsuran"
"151211","Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi"
"151311","Tagihan Penjualan Angsuran-Badan Layanan Umum"
"151411","Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi-Badan Layanan Umum"
"151511","Piutang Jangka Panjang atas Kredit Pemerintah KUT-TP 1999/2000"
"151512","Piutang Jangka Panjang atas Kredit Pemerintah Dana Cadangan KUT-TP"
"151513","Piutang Jangka Panjang atas Kredit Pemerintah KKop Pangan MP2000"
"151514","Piutang Jangka Panjang atas Kredit Pemerintah PIR dan UPP Perkebunan"
"151521","Piutang Jangka Panjang atas Kredit Investasi Pemerintah"
"151611","Piutang Jangka Panjang Penerusan pinjaman"
"151612","Aset Lainnya RDI"
"152111","Piutang Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi"
"152211","Piutang Tagihan Tuntutan Perbendaharaan/Tuntutan Ganti Rugi-Badan Layanan Umum"
"153111","Piutang Jangka Panjang Pemberian Pinjaman"
"153118","Piutang Pemberian Pinjaman yang belum disesuaikan"
"153119","Piutang Transito Pengalihan Pemberian Pinjaman"
"153121","Hak Cipta"
"153131","Royalti"
"153141","Paten"
"153151","Software"
"153161","Lisensi"
"153171","Hasil Kajian/Penelitian"
"153191","Suspen Piutang Jangka Panjang Pemberian Pinjaman"
"153211","Software-Badan Layanan Umum"
"153221","Hak Cipta BLU"
"153231","Royalti BLU"
"153241","Paten BLU"
"153291","Aset Tak Berwujud Lainnya-Badan Layanan Umum"
"154111","Aset Lain-lain"
"154112","Aset Tetap yang tidak digunakan dalam operasi pemerintahan"
"154116","Piutang yang belum tertagih (unbilled) atas Kredit Pemerintah (KUMK)"
"154121","TP BPPN"
"154122","Aset Pada PT Perusahaan Pengelola Aset"
"154123","Aset Pada Pertamina"
"154124","Aset Pada Kontraktor Kontrak Kerja Sama (KKSK)"
"154131","Piutang Jangka Panjang atas Penjaminan Pemerintah"
"154211","Rekening Khusus"
"154212","Cadangan Dana Reboisasi"
"154213","Cadangan Dana Subsidi/PSO"
"154214","Cadangan Dana Bagi Hasil SDA"
"154215","Dana untuk Penyertaan Modal Negara (PMN)"
"154216","Rekening Jaminan"
"154217","DAU yang belum dibagi"
"154218","Dana pada Bapertarum"
"154219","Dana lainnya"
"154221","Trust Fund Aceh Nias"
"154222","RANTF"
"154223","ReKOMPAK"
"154224","Dana Beasiswa"
"154231","Kas di Rekening Retur pada Kantor Pusat BO I atau Kantor Cabang yang ditunjuk"
"154232","Kas di Rekening Retur di Bank Operasional"
"154233","Kas di Rekening Retur pada Kantor Cabang Bank Indonesia"
"154234","Kas di Rekening Penampungan Retur pada Kantor Pusat Bank Indonesia (rekening RPR)"
"154311","Dana Penjaminan"
"154411","Aset Lain-lain-Badan Layanan Umum"
"154412","Aset Tetap yang tidak digunakan dalam operasi pemerintahan"
"154413","Kas BLU yang dibatasi Penggunaannya"
"154511","Dana Kelolaan BLU yang belum digulirkan/diinvestasikan"
"154611","Aset Lainnya Reklasifikasi dari Kas di Bendahara Pengeluaran"
"155121","Piutang Jangka Panjang Penanggulangan Lumpur Sidoarjo "
"155211","Piutang Jangka Panjang Subsidi"
"155411","Penyisihan Piutang Penerusan Pinjaman"
"155412","Penyisihan Piutang RDI"
"155511","Penyisihan Piutang Kredit Pemerintah Bidang Perkebunan"
"155512","Penyisihan Piutang Kredit Investasi  Pemerintah"
"156511","Penyisihan Piutang Tidak Tertagih – Piutang Jangka Panjang Pemberian Pinjaman"
"156621","Penyisihan Piutang Tidak Tertagih - Penjaminan Pemerintah"
"156711","Penyisihan Piutang Tidak Tertagih Jangka Panjang Subsidi "
"156921","Penyisihan Piutang Tidak Tertagih- Piutang Jangka Panjang Penanggulangan Lumpur Sidoarjo "
"156931","Bagian Lancar Piutang Jangka Panjang Penanggulangan Lumpur Sidoarjo"
"163131","Dana Perhitungan Fihak Ketiga"
"163211","Kas Besi di Perwakilan RI di Luar Negeri"
"164111","Dana Cadangan Penjaminan"
"165112","Dana Kelolaan BLU yang Ditarik ke Rekening BUN"
"166113","Aset Tak Berwujud yang tidak digunakan dalam Operasional Pemerintahan "
"166212","Aset Tetap yang tidak digunakan dalam operasi pemerintahan"
"166214","Aset Tak Berwujud yang tidak digunakan dalam Operasional Pemerintahan - BLU "
"166321","Aset Lainnya dari Reklasifikasi Kas Besi – BPPR Minus"
"166322","Aset Lainnya dari Reklasifikasi Kas Besi – BPJ Minus"
"168111","Aset Lainnya Pemberian Pinjaman"
"169212","Akumulasi Penyusutan Aset Tetap yang Tidak Digunakan dalam Operasi Pemerintahan Badan Layanan Umum"
"169318","Akumulasi Amortisasi  Aset Tak Berwujud  yang tidak digunakan dalam Operasional Pemerintahan "
"169416","Akumulasi Amortisasi  Aset Tak Berwujud  yang tidak digunakan dalam Operasional Pemerintahan - BLU "
"211111","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) 2% Gaji"
"211112","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) 2% Pensiunan PNS "
"211113","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) Beras Bulog"
"211114","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) 8% Gaji"
"211115","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) Tabungan Wajib Perumahan"
"211116","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) 2% Pensiunan TNI/PNS Kemhan dan Polri/PNS Polri"
"211117","Utang Perwalian/Perhitungan Fihak Ketiga (PFK) 3% Iuran Jaminan Kesehatan "
